0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:49 +0530] "POST /itemDem/displayItem HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:50 +0530] "GET /itemDem/css/tableAdmin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:54 +0530] "POST /itemDem/buttonDisplay HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [12/May/2024:11:39:54 +0530] "GET /itemDem/css/product.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:01 +0530] "POST /itemDem/buttonDisplay HTTP/1.1" 200 3113
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:18 +0530] "GET /itemDem/mainLogin.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:18 +0530] "GET /itemDem/css/mainLogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:18 +0530] "GET /itemDem/images/dlog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:18 +0530] "GET /itemDem/images/slog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:27 +0530] "GET /itemDem/login.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:27 +0530] "GET /itemDem/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:35 +0530] "POST /itemDem/login HTTP/1.1" 200 2842
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:35 +0530] "GET /itemDem/css/adminprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:40 +0530] "POST /itemDem/addItem.jsp HTTP/1.1" 200 2913
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:40 +0530] "GET /itemDem/css/itemAdd.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:44 +0530] "POST /itemDem/checkItem.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [12/May/2024:11:40:48 +0530] "POST /itemDem/adminItem HTTP/1.1" 200 3273
